"Hits: 184","page_num: 1","page_size: 2000","Keyword Version: 21.0","Revision: 2025-03-14 10:18:11","Timestamp: 2025-04-16 11:29:51","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/chronounits/?format=xml","Case native"
Eon,Era,Period,Epoch,Age,Sub-Age,UUID
"PHANEROZOIC","MESOZOIC","JURASSIC","MIDDLE","AALENIAN","","8d25cd2c-cb4e-4133-af8b-dcde0775c558"
"PHANEROZOIC","PALEOZOIC","SILURIAN","LLANDOVERY","AERONIAN","","3f87a2a4-2e77-4955-83a4-f3ecad41ec1c"
"PHANEROZOIC","MESOZOIC","CRETACEOUS","EARLY","ALBIAN","","f4da3849-801c-4b51-9403-45ec421dfa03"
"PHANEROZOIC","MESOZOIC","TRIASSIC","MIDDLE","ANISIAN","","a4d1651b-a5c2-463d-afea-c211da0d1ea5"
"PHANEROZOIC","MESOZOIC","CRETACEOUS","EARLY","APTIAN","","4542d23f-a390-4e21-a905-79ec5e9c66ec"
"PHANEROZOIC","CENOZOIC","NEOGENE","MIOCENE","AQUITANIAN","","027286de-800d-4141-b17b-6df71fbef30c"
"ARCHAEAN","","","","","","7160e90a-d7c4-4817-9b1c-e82211688bdb"
"PHANEROZOIC","PALEOZOIC","PERMIAN","CISURALIAN","ARTINSKIAN","","d5b05025-2467-4ba9-95cd-2e6c9568d33d"
"PHANEROZOIC","PALEOZOIC","PERMIAN","CISURALIAN","ASSELIAN","","d8919fb7-eb9e-4ec6-ac4a-80d6251562f4"
"PHANEROZOIC","MESOZOIC","JURASSIC","MIDDLE","BAJOCIAN","","1386b377-26fd-49af-a7e3-7c8be3320997"
"PHANEROZOIC","MESOZOIC","CRETACEOUS","EARLY","BARREMIAN","","a26a2ddd-4eb0-4aa8-a6db-8b47622b5dbe"
"PHANEROZOIC","CENOZOIC","PALEOGENE","EOCENE","BARTONIAN","","67246f68-1e2e-48a8-b8c8-be04d247a4c2"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","PENNSYLVANIAN","EARLY","BASHKIRIAN","20a0db39-423d-4fd9-a89c-7f760d14f844"
"PHANEROZOIC","MESOZOIC","JURASSIC","MIDDLE","BATHONIAN","","cd6d09ee-0c39-4a4f-9285-3bf616b0aae3"
"PHANEROZOIC","MESOZOIC","CRETACEOUS","EARLY","BERRIASIAN","","9d050d2d-3397-439c-86a5-0e41c3e8dfdc"
"PHANEROZOIC","CENOZOIC","NEOGENE","MIOCENE","BURDIGALIAN","","d76017a5-c60a-4910-81f7-58a559d32990"
"PHANEROZOIC","CENOZOIC","QUATERNARY","PLEISTOCENE","CALABRIAN","","4a8e2b77-e46a-4646-8a9d-1a99b6d8a4b0"
"PHANEROZOIC","MESOZOIC","JURASSIC","MIDDLE","CALLOVIAN","","4e10cbfa-f2d3-4397-a353-752126197158"
"PROTEROZOIC","MESOPROTEROZOIC","CALYMMIAN","","","","71103ecc-f291-48d4-a479-c1781850aee2"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","","","","167bba30-03d3-4898-8c53-6e50828d1749"
"PHANEROZOIC","MESOZOIC","CRETACEOUS","LATE","CAMPANIAN","","96713563-fdf4-4e05-ad85-36cf66a74260"
"PHANEROZOIC","PALEOZOIC","PERMIAN","GUADALUPIAN","CAPITANIAN","","93443b1e-9f1e-4f35-9b3b-222bf35a51c0"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","","","","b5b2981d-1623-4988-8b28-4cb8085a62e1"
"PHANEROZOIC","MESOZOIC","TRIASSIC","LATE","CARNIAN","","db75736c-28be-470c-b532-71b81ca3fbcd"
"PHANEROZOIC","MESOZOIC","CRETACEOUS","LATE","CENOMANIAN","","66543c1a-4855-4ded-a610-c38a80cf158a"
"PHANEROZOIC","CENOZOIC","","","","","db5be985-d8dc-4063-abff-4cbd8eb39653"
"PHANEROZOIC","PALEOZOIC","PERMIAN","LOPINGIAN","CHANGHSINGIAN","","677882a4-d01c-4858-b889-575f405dccb9"
"PHANEROZOIC","CENOZOIC","PALEOGENE","OLIGOCENE","CHATTIAN","","9388f3a4-18df-45f6-ba3d-7a78579f6a6d"
