"Keyword Version: 21.4","Revision: 2025-05-23 09:24:06","Timestamp: 2025-06-06 12:21:03","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/locations/?format=xml","Case native"
Location_Category,Location_Type,Location_Subregion1,Location_Subregion2,Location_Subregion3,Location_Subregion4,UUID
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","MEDITERRANEAN SEA","ADRIATIC SEA","","5c439818-3a80-4c6d-9d2c-74ea1f1a294a"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","AFGHANISTAN","","","fa3c995d-58d6-4f06-9fb0-ec04e0456d7b"
"CONTINENT","AFRICA","","","","","2ca1b865-5555-4375-aa81-72811335b695"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","ALABAMA","","","9fe93f63-61b1-4232-bf5b-05703f803fce"
"CONTINENT","EUROPE","NORTHERN EUROPE","SCANDINAVIA","ALAND ISLANDS","","cbb172c1-a791-4a87-ab39-fe54508b26cd"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","ALASKA","","","ce93cb61-ead9-4b5c-b26f-0f22ea5e2b24"
"CONTINENT","EUROPE","SOUTHERN EUROPE","ALBANIA","","","ffcee960-5527-43e0-bfd0-ad48b1151cf0"
"CONTINENT","NORTH AMERICA","CANADA","ALBERTA","","","9cf876f7-1621-4e1b-bc56-056a0c28ed4b"
"CONTINENT","AFRICA","NORTHERN AFRICA","ALGERIA","","","553fabba-37b9-4d16-aed1-cc6ac6f729e1"
"CONTINENT","SOUTH AMERICA","AMAZONIA","","","","bb293e12-6ffe-48e2-96e5-8f5ae9c137c2"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","AMERICAN SAMOA","","","d4db292f-3097-4843-a6c5-291cf993bea9"
"OCEAN","INDIAN OCEAN","AMSTERDAM AND ST. PAUL ISLANDS","","","","a6f58ff3-7fd8-47a2-b007-6e23c104d272"
"OCEAN","INDIAN OCEAN","ANDAMAN ISLANDS","","","","0b7d96be-3d27-40b8-9876-61b2d7c2bd58"
"CONTINENT","EUROPE","SOUTHERN EUROPE","ANDORRA","","","e4efa84c-fe5a-49f0-81cd-0a6e7b38074d"
"CONTINENT","AFRICA","CENTRAL AFRICA","ANGOLA","","","9b0a194d-d617-4fed-9625-df176319892d"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","ANGUILLA","","835b0d04-f380-4e59-a19e-6652ae04dbea"
"CONTINENT","ANTARCTICA","ANTARCTIC PENINSULA","","","","20229c10-303d-4fc9-89b0-8ae372df445f"
"CONTINENT","ANTARCTICA","","","","","70fb5a3b-35b1-4048-a8be-56a0d865281c"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","ANTIGUA AND BARBUDA","","97b6f4a7-a03a-4b6b-a6f3-fbd80f84fa95"
"OCEAN","INDIAN OCEAN","ARABIAN SEA","","","","a186eed4-d1b4-4d11-b218-b61708a9124c"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","ARAL SEA","","","e2408bfc-f7d3-49a6-ad87-f025654e3af9"
"GEOGRAPHIC REGION","ARCTIC","","","","","d40d9651-aa19-4b2c-9764-7371bb64b9a7"
"OCEAN","ARCTIC OCEAN","","","","","1ed45273-3e2b-4586-b852-05578c04041b"
"CONTINENT","SOUTH AMERICA","ARGENTINA","","","","838923bc-cda7-4cf5-a21a-0c777304a593"
"OCEAN","ATLANTIC OCEAN","SOUTH ATLANTIC OCEAN","ARGENTINE ISLANDS","","","b3f09053-bb27-4d49-a2fa-893547f5e14b"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","ARIZONA","","","c46d59a8-d874-4db8-87f5-d59ecbb79a29"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","ARKANSAS","","","69f4d2fa-5b3d-43fe-bd55-63f6c9d1ca5a"
"CONTINENT","ASIA","WESTERN ASIA","ARMENIA","","","42c902b9-ed3b-435f-89c3-150de74451f1"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","ARUBA","","f39da294-1678-4cca-b545-885612e9f7de"
"OCEAN","ATLANTIC OCEAN","SOUTH ATLANTIC OCEAN","ASCENSION ISLAND","","","14e52f21-8d11-484b-8c88-ca36ce712561"
"CONTINENT","ASIA","","","","","9e29690c-079c-4429-afed-ef061ab0c41e"
"OCEAN","ATLANTIC OCEAN","","","","","cf249a36-2e82-4d32-84cd-23a4f40bb393"
"CONTINENT","AUSTRALIA/NEW ZEALAND","AUSTRALIA","","","","ce0984da-1151-41ff-8d92-ab551c9d08bc"
"CONTINENT","AUSTRALIA/NEW ZEALAND","","","","","02156a5c-5ea1-43e3-acf1-a89e99027555"
"CONTINENT","EUROPE","WESTERN EUROPE","AUSTRIA","","","e4d33a7a-f145-4aec-9d15-e21dc9916aad"
"CONTINENT","ASIA","WESTERN ASIA","AZERBAIJAN","","","f487ce0b-ade2-4c3d-976f-3101da973126"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","AZORES","","","946f1f4f-fddc-418b-8177-38ba747e0e64"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","BAHAMAS","","31c5e65c-05b6-4806-830f-94c912f03c77"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","BAHRAIN","","a7334f57-6040-46a3-bde2-f87b26e8a3a3"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","BAKER ISLAND","","","1cefbe03-03dd-4dd2-abed-0eac80bf00cf"
"CONTINENT","ANTARCTICA","BALLENY ISLANDS","","","","84a3d9ed-7a8e-4286-b821-8389c774a719"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","BALTIC SEA","","","41cd228c-4677-4900-9507-70144d8b50bc"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","BANGLADESH","","","28761db9-82fe-4a24-9a89-0fd6047fa1ea"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","BARBADOS","","b770fd0c-6169-42e8-ad30-7fde13c5c6c5"
"OCEAN","ARCTIC OCEAN","BARENTS SEA","","","","a4cb5149-19c8-45dc-976b-9cd590a7365a"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","BASS STRAIT","","","e70f8cd6-04d3-4ccb-9d50-cfc1603fc71a"
"OCEAN","INDIAN OCEAN","BAY OF BENGAL","","","","66dc90fd-304a-4379-a9e1-18cf184cc6da"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","BAY OF FUNDY","","","6e4b47ff-1d42-42d7-b5a0-a15cb27e39cc"
"OCEAN","ARCTIC OCEAN","BEAUFORT SEA","","","","86ed3782-8e30-4547-a774-35100b224d5a"
